
begin: 2013-07-19 19:11:45.099663 +0900 +0900

      :2080(100000100000)--512(001000000000)	391(000110000111)--1640(011001101000)	2048(100000000000)--0(000000000000)
      :2080(100000100000)--512(001000000000)	391(000110000111)--1640(011001101000)	0(000000000000)--512(001000000000)
      :2080(100000100000)--512(001000000000)	391(000110000111)--1640(011001101000)	32(000000100000)--0(000000000000)
    :2608(101000110000)--2608(101000110000)	1603(011001000011)--2452(100110010100)	32(000000100000)--32(000000100000)
    :2608(101000110000)--2608(101000110000)	1603(011001000011)--2452(100110010100)	512(001000000000)--2064(100000010000)
    :2608(101000110000)--2608(101000110000)	1603(011001000011)--2452(100110010100)	2064(100000010000)--512(001000000000)
      :32(000000100000)--32(000000100000)	377(000101111001)--3718(111010000110)	0(000000000000)--0(000000000000)
      :32(000000100000)--32(000000100000)	377(000101111001)--3718(111010000110)	32(000000100000)--0(000000000000)
      :32(000000100000)--32(000000100000)	377(000101111001)--3718(111010000110)	0(000000000000)--32(000000100000)
      :32(000000100000)--32(000000100000)	1638(011001100110)--2457(100110011001)	0(000000000000)--0(000000000000)
      :32(000000100000)--32(000000100000)	1638(011001100110)--2457(100110011001)	32(000000100000)--0(000000000000)
      :32(000000100000)--32(000000100000)	1638(011001100110)--2457(100110011001)	0(000000000000)--32(000000100000)
      :32(000000100000)--32(000000100000)	561(001000110001)--1348(010101000100)	0(000000000000)--0(000000000000)
      :32(000000100000)--32(000000100000)	561(001000110001)--1348(010101000100)	32(000000100000)--0(000000000000)
      :32(000000100000)--32(000000100000)	561(001000110001)--1348(010101000100)	0(000000000000)--32(000000100000)
      :512(001000000000)--2064(100000010000)	248(000011111000)--2311(100100000111)	512(001000000000)--0(000000000000)
      :512(001000000000)--2064(100000010000)	248(000011111000)--2311(100100000111)	0(000000000000)--2048(100000000000)
      :512(001000000000)--2064(100000010000)	248(000011111000)--2311(100100000111)	0(000000000000)--16(000000010000)
      :512(001000000000)--2064(100000010000)	248(000011111000)--3333(110100000101)	512(001000000000)--0(000000000000)
      :512(001000000000)--2064(100000010000)	248(000011111000)--3333(110100000101)	0(000000000000)--2048(100000000000)
      :512(001000000000)--2064(100000010000)	248(000011111000)--3333(110100000101)	0(000000000000)--16(000000010000)
      :512(001000000000)--2064(100000010000)	248(000011111000)--3334(110100000110)	512(001000000000)--0(000000000000)
      :512(001000000000)--2064(100000010000)	248(000011111000)--3334(110100000110)	0(000000000000)--2048(100000000000)
      :512(001000000000)--2064(100000010000)	248(000011111000)--3334(110100000110)	0(000000000000)--16(000000010000)
      :2064(100000010000)--512(001000000000)	530(001000010010)--1092(010001000100)	2048(100000000000)--0(000000000000)
      :2064(100000010000)--512(001000000000)	530(001000010010)--1092(010001000100)	16(000000010000)--0(000000000000)
      :2064(100000010000)--512(001000000000)	530(001000010010)--1092(010001000100)	0(000000000000)--512(001000000000)
      :2064(100000010000)--512(001000000000)	530(001000010010)--1120(010001100000)	2048(100000000000)--0(000000000000)
      :2064(100000010000)--512(001000000000)	530(001000010010)--1120(010001100000)	16(000000010000)--0(000000000000)
      :2064(100000010000)--512(001000000000)	530(001000010010)--1120(010001100000)	0(000000000000)--512(001000000000)
      :2064(100000010000)--512(001000000000)	530(001000010010)--1184(010010100000)	2048(100000000000)--0(000000000000)
      :2064(100000010000)--512(001000000000)	530(001000010010)--1184(010010100000)	16(000000010000)--0(000000000000)
      :2064(100000010000)--512(001000000000)	530(001000010010)--1184(010010100000)	0(000000000000)--512(001000000000)
    :197(000011000101)--1290(010100001010)	114(000001110010)--649(001010001001)	4(000000000100)--1280(010100000000)
    :197(000011000101)--1290(010100001010)	114(000001110010)--649(001010001001)	64(000001000000)--8(000000001000)
    :197(000011000101)--1290(010100001010)	114(000001110010)--649(001010001001)	129(000010000001)--2(000000000010)
      :4(000000000100)--1280(010100000000)	897(001110000001)--1128(010001101000)	4(000000000100)--0(000000000000)
      :4(000000000100)--1280(010100000000)	897(001110000001)--1128(010001101000)	0(000000000000)--1024(010000000000)
      :4(000000000100)--1280(010100000000)	897(001110000001)--1128(010001101000)	0(000000000000)--256(000100000000)
      :4(000000000100)--1280(010100000000)	897(001110000001)--1136(010001110000)	4(000000000100)--0(000000000000)
      :4(000000000100)--1280(010100000000)	897(001110000001)--1136(010001110000)	0(000000000000)--1024(010000000000)
      :4(000000000100)--1280(010100000000)	897(001110000001)--1136(010001110000)	0(000000000000)--256(000100000000)
      :4(000000000100)--1280(010100000000)	897(001110000001)--3106(110000100010)	4(000000000100)--0(000000000000)
      :4(000000000100)--1280(010100000000)	897(001110000001)--3106(110000100010)	0(000000000000)--1024(010000000000)
